PkMn,Identifier,40,30,27,25,23,20,15
1,Bulbasaur,981,893,803,767,688,620,461
2,Ivysaur,1552,1413,1271,1214,1088,981,729
3,Venusaur,2568,2338,2103,2008,1800,1624,1207
4,Charmander,831,757,681,650,583,526,391
5,Charmeleon,1484,1351,1215,1160,1040,938,697
6,Charizard,2686,2445,2200,2100,1883,1699,1262
7,Squirtle,808,736,662,632,566,511,380
8,Wartortle,1324,1205,1084,1035,928,837,622
9,Blastoise,2291,2086,1876,1792,1606,1449,1077
10,Caterpie,393,358,322,307,275,249,185
11,Metapod,357,325,292,279,250,226,168
12,Butterfree,1701,1549,1393,1330,1192,1076,799
13,Weedle,397,361,325,310,278,251,187
14,Kakuna,392,357,321,307,275,248,184
15,Beedrill,1777,1618,1455,1390,1246,1124,835
16,Pidgey,580,528,475,454,407,367,273
17,Pidgeotto,1085,988,889,848,761,686,510
18,Pidgeot,1994,1815,1633,1559,1398,1261,937
19,Rattata,588,535,482,460,412,372,276
20,Raticate,1549,1410,1269,1211,1086,980,728
21,Spearow,673,613,551,526,472,426,316
22,Fearow,1814,1651,1486,1419,1272,1147,853
23,Ekans,778,708,637,608,545,492,366
24,Arbok,1737,1581,1423,1358,1218,1098,816
25,Pikachu,787,716,645,615,552,498,370
26,Raichu,2015,1834,1650,1576,1413,1274,947
27,Sandshrew,1194,1087,978,934,837,755,561
28,Sandslash,2328,2119,1907,1820,1632,1472,1094
29,Nidoran♀,736,670,603,576,516,465,346
30,Nidorina,1218,1109,998,952,854,770,572
31,Nidoqueen,2338,2129,1915,1828,1639,1479,1099
32,Nidoran♂,739,673,605,578,518,467,347
33,Nidorino,1252,1140,1025,979,878,792,588
34,Nidoking,2386,2172,1954,1866,1673,1509,1121
35,Clefairy,1085,988,889,848,761,686,510
36,Clefable,2353,2142,1927,1840,1649,1488,1106
37,Vulpix,774,705,634,605,543,489,364
38,Ninetales,2157,1964,1767,1687,1512,1364,1014
39,Jigglypuff,713,649,584,558,500,451,335
40,Wigglytuff,1906,1735,1561,1490,1336,1205,896
41,Zubat,569,518,466,445,399,360,267
42,Golbat,1830,1666,1499,1431,1283,1157,860
43,Oddish,1069,973,876,836,749,676,502
44,Gloom,1512,1377,1238,1182,1060,956,711
45,Vileplume,2367,2155,1939,1851,1659,1497,1112
46,Paras,836,761,685,654,586,529,393
47,Parasect,1657,1509,1357,1296,1162,1048,779
48,Venonat,902,821,739,705,632,570,424
49,Venomoth,1937,1763,1586,1515,1358,1225,910
50,Diglett,465,423,381,364,326,294,219
