Identifier,MaxCP,OldStamina,OldAttack,OldDefense,NewStamina,NewAttack,NewDefense
Bulbasaur,981,90,126,126,90,118,118
Ivysaur,1552,120,156,158,120,151,151
Venusaur,2568,160,198,200,160,198,198
Charmander,831,78,128,108,78,116,96
Charmeleon,1484,116,160,140,116,158,129
Charizard,2686,156,212,182,156,223,176
Squirtle,808,88,112,142,88,94,122
Wartortle,1324,118,144,176,118,126,155
Blastoise,2291,158,186,222,158,171,210
Caterpie,393,90,62,66,90,55,62
Metapod,357,100,56,86,100,45,64
Butterfree,1701,120,144,144,120,167,151
Weedle,397,80,68,64,80,63,55
Kakuna,392,90,62,82,90,46,86
Beedrill,1777,130,144,130,130,169,150
Pidgey,580,80,94,90,80,85,76
Pidgeotto,1085,126,126,122,126,117,108
Pidgeot,1994,166,170,166,166,166,157
Rattata,588,60,92,86,60,103,70
Raticate,1549,110,146,150,110,161,144
Spearow,673,80,102,78,80,112,61
Fearow,1814,130,168,146,130,182,135
Ekans,778,70,112,112,70,110,102
Arbok,1737,120,166,166,120,167,158
Pikachu,787,70,124,108,70,112,101
Raichu,2015,120,200,154,120,192,165
Sandshrew,1194,100,90,114,100,126,145
Sandslash,2328,150,150,172,150,182,202
Nidoran♀,736,110,100,104,110,86,94
Nidorina,1218,140,132,136,140,117,126
Nidoqueen,2338,180,184,190,180,180,174
Nidoran♂,739,92,110,94,92,105,76
Nidorino,1252,122,142,128,122,137,112
Nidoking,2386,162,204,170,162,204,157
Clefairy,1085,140,116,124,140,107,116
Clefable,2353,190,178,178,190,178,171
Vulpix,774,76,106,118,76,96,122
Ninetales,2157,146,176,194,146,169,204
Jigglypuff,713,230,98,54,230,80,44
Wigglytuff,1906,280,168,108,280,156,93
Zubat,569,80,88,90,80,83,76
Golbat,1830,150,164,164,150,161,153
Oddish,1069,90,134,130,90,131,116
Gloom,1512,120,162,158,120,153,139
Vileplume,2367,150,202,190,150,202,170
Paras,836,70,122,120,70,121,99
Parasect,1657,120,162,170,120,165,146
Venonat,902,120,108,118,120,100,102
Venomoth,1937,140,172,154,140,179,150
Diglett,465,20,108,86,20,109,88
Dugtrio,1333,70,148,140,70,167,147
Meowth,638,80,104,94,80,92,81
Persian,1539,130,156,146,130,150,139
Psyduck,966,100,132,112,100,122,96
Golduck,2270,160,194,176,160,191,163
Mankey,1002,80,122,96,80,148,87
Primeape,2105,130,178,150,130,207,144
Growlithe,1110,110,156,110,110,136,96
Arcanine,2839,180,230,180,180,227,166
Poliwag,695,80,108,98,80,101,82
Poliwhirl,1313,130,132,132,130,130,130
Poliwrath,2441,180,180,202,180,182,187
Abra,1148,50,110,76,50,195,103
Kadabra,1859,80,150,112,80,232,138
Alakazam,2887,110,186,152,110,271,194
Machop,1199,140,118,96,140,137,88
Machoke,1910,160,154,144,160,177,130
Machamp,2889,180,198,180,180,234,162
Bellsprout,916,100,158,78,100,139,64
Weepinbell,1475,130,190,110,130,172,95
Victreebel,2268,160,222,152,160,207,138
Tentacool,956,80,106,136,80,97,182
Tentacruel,2374,160,170,196,160,166,237
Geodude,1193,80,106,118,80,132,163
Graveler,1815,110,142,156,110,164,196
Golem,2916,160,176,198,160,211,229
Ponyta,1502,100,168,138,100,170,132
Rapidash,2252,130,200,170,130,207,167
